@id,addr:housenumber,addr:postcode,addr:street,bakery,description,name,FID,opening_hours,addr:country,brand,brand:wikidata,check_date:opening_hours,cuisine,entrance,indoor_seating,official_name,outdoor_seating,phone,ref,takeaway,website,branch,internet_access,air_conditioning,capacity,check_date,source,email,fax,created_by,contact:facebook,addr:unit,contact:phone,name:ko,internet_access:fee,toilets:wheelchair,wheelchair,internet_access:ssid,addr:housename,alt_name,designation,payment:cards,payment:cash,smoking,addr:source,opening_hours:signed,indoor_seating:comfort,outdoor_seating:comfort,addr:suburb,contact:email,contact:instagram,bar,start_date,check_date:smoking,name:en,delivery,diet:gluten_free,diet:vegetarian,payment:mastercard,payment:visa,theme,changing_table,payment:credit_cards,payment:debit_cards,toilets,shop,short_name
node/1735908953,218,,Lawrence Street,,,Bohäus Cafe,node/1735908953,,,,,,,,,,,+61 410 242 970,,,,,,,,,survey,,,,https://www.facebook.com/people/Boh%C3%A4us-Cafe/100060917927334/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/1736838308,,,,,,The Bitton Room,node/1736838308,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/1738813259,,,,,,,node/1738813259,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/2022485140,2,,Huntley Street,,,The Grounds of Alexandria,node/2022485140,Mo-Su 07:30-16:00,,The Grounds,,,coffee_shop,,,,,,,,https://thegrounds.com.au/dine-in/the-grounds-cafe/,,,,,,local_knowledge,,,,,7A,+61 2 9699 2225,"더그라운즈,포팅쉐드",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/2140868012,,,,,,222,node/2140868012,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/2249646498,1767,22314-2720,King Street,,,Starbucks,node/2249646498,06:00-17:00,US,Starbucks,Q37158,,coffee_shop,,,Starbucks Coffee,,+1 202-209-1697,8143,yes,https://www.starbucks.com/store-locator/store/8143/hilton-alexandria-old-town-lob-1767-king-st-alexandria-va-223142720-us,Hilton Alexandria Old Town Lob,wlan,,,,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/2414824292,1901,22314,Ballenger Avenue,,,Starbucks,node/2414824292,,,Starbucks,Q37158,,coffee_shop,,,Starbucks Coffee,,+1 703-299-3460,6733,yes,https://www.starbucks.com/store-locator/store/6733/carlyle-center-1901-ballenger-avenue-alexandria-va-223146819-us,Carlyle Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/2508397390,,,,,,Love Grub,node/2508397390,,,,,,,,,,,,,,,,,,,,OpenStreetBugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/2766063563,1012,22314,King Street,,,ESP Tea & Coffee,node/2766063563,,,,,,gelato;coffee;empanada,,,,,+1 571-970-1674,,,https://www.espteaandcoffee.com,,yes,yes,,,,,,,,,,,yes,,yes,ESP Tea & Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/2776115665,1125,22314-2450,Queen Street,,,Hawwi Ethiopian Café and Restaurant,node/2776115665,,,,,,ethiopian,,,,,-11159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3291885315,405 #101,56308,50th Avenue West,,,Dunn Brothers Coffee,node/3291885315,,,Dunn Brothers Coffee,Q5315537,,coffee_shop,,,,,-3365,,yes,https://dunnbros.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3291892938,4911 #101,56308,South State Highway 29,,,Caribou Coffee,node/3291892938,,,Caribou Coffee,Q5039494,,coffee_shop,,,,,-9670,,yes,https://www.cariboucoffee.com/home,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3468499743,,22311,Campus Lane East,,,Euro Café,node/3468499743,,,Euro Café,Q113826845,,coffee_shop;sandwich,,,,,,,yes,https://www.nvcc.edu/current-students/student-life/food/index.html,,wlan,,,,http://www.nvcc.edu/current-students/student-life/food/index.html,,,,,,,,,,,,Bisdorf Building,Euro Cafe,Bisdorf Building- 1st Floor,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3509313696,85,,Bourke Road,,,Copper Rose Cafe,node/3509313696,,,,,,,,,,,,,,,,,,,9/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3665076562,501,22301,East Monroe Avenue,,,M.E. Swing Coffee Co.,node/3665076562,Mo-Fr 07:00-16:00; Sa 08:00-15:00,,,,,coffee_shop,,,,,+1 703-370-5050,,,https://swingscoffee.com/,,yes,,,,,,,,,,,,,yes,yes,,,,,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,,
node/3743101836,3051,22305,Mount Vernon Avenue,,,South Block,node/3743101836,,,South Block,Q116456009,,juice;smoothie;coffee;açaí,,,,yes,-9590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3924591470,,,,,,The Kiosk,node/3924591470,Mo-Su 07:00-16:00,,,,,coffee_shop;sandwich;burger,,,,yes,+61 413 022 747,,,https://www.sydneyparkkiosk.com.au/,,,,,,,sydneyparkkiosk@gmail.com,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4039317351,2459,22314-4684,Eisenhower Avenue,,,Starbucks,node/4039317351,"Mo-Fr 05:30-18:30; Sa,Su 06:30-18:30",US,Starbucks,Q37158,,coffee_shop,,,Starbucks Coffee,,+1 703-960-4279,12685,yes,https://www.starbucks.com/store-locator/store/12685/hoffman-2459-eisenhower-avenue-alexandria-va-223144684-us,Hoffman,,,,,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4616678161,4911,22304,Brenman Park Drive,,,Cameron Cafe,node/4616678161,Mo-Fr 06:30-18:00; Sa 08:00-17:00; Su 08:00-17:00,US,,,,coffee_shop,yes,,,,-9125,,,http://caboose-cafe.com/cameron-station/,,wlan,,,,survey 1/2017,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4666412745,5782,22304-4066,Dow Avenue,,,Starbucks,node/4666412745,,US,Starbucks,Q37158,,coffee_shop,,,Starbucks Coffee,,+1 571-447-7211,1009981,yes,https://www.starbucks.com/store-locator/store/1009981/s-van-dorn-and-pickett-5782-dow-ave-alexandria-va-223044066-us,South Van Dorn and Pickett,,,,9/6/2025,,,,,,,,,,,,,,,,,,,walking survey 2/2018,,,,,,,,,,,,,,,,,,,,,,
node/4677509715,,,,,,Landmark Bakery and Cafe,node/4677509715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/5027973697,,,,,,The garden,node/5027973697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/5084349705,3825,22305-3138,C Jefferson Davis Highway,,,Starbucks,node/5084349705,,US,Starbucks,Q37158,,coffee_shop,,,Starbucks Coffee,,+1 703-535-8740,16721,yes,https://www.starbucks.com/store-locator/store/16721/potomac-yards-3825-c-jefferson-davis-highway-alexandria-va-22305,Potomac Yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/5111335656,111,22314,South Payne Street,,,Casa Rosada Artisan Gelato,node/5111335656,Mo-Su 12:00-21:00,,,,,ice_cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/5165098021,,,,,,Sandellas Flatbread Cafe,node/5165098021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/5203491923,,,Huntley Street,,,Cynthia's Café,node/5203491923,,,,,10/10/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,
node/5222609322,338-356,,Mitchell Road,,,The Copper Mill,node/5222609322,Mo-Fr 07:00-14:30; Sa-Su 07:30-14:30; PH 08:00-14:00,,,,,,,yes,,yes,,,,https://www.thecoppermill.com.au,,,,,2025-02,,,,,,,,,,,,,,,,,,,,,stool;chair,stool,,,,,,,,,,,,,,,,,,,
node/5222609421,,,,,,La Cachette,node/5222609421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/5245251921,140-142,,McEvoy Street,,,Grandma's,node/5245251921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/5494164217,289,22304,South Van Dorn Street,,,Java Loco,node/5494164217,,US,,,,coffee_shop,yes,,,,,,,,,,,,,walking survey 3/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/5982120486,,,,,,Textbook,node/5982120486,,,,,,,,,,,,,,https://www.textbookpatisserie.com.au/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/6054058697,,,,,,Loveat Cafe,node/6054058697,,,,,7/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,
node/7474734732,133,2015,Mitchell Road,,,Coffee Creative,node/7474734732,,,,,,coffee_shop,,,,yes,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,Alexandria,,,,,,,,,,,,,,,,,,
node/8288988126,11,2015,Bowden Street,,,Café Imparo,node/8288988126,Mo-Fr 07:30-15:00,AU,,,,coffee_shop;bakery,,,,,,,,https://www.angliss.edu.au/restaurants-events/angliss-dining/Cafe-Imparo/,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexandria,,,,,,,,,,,,,,,,,,
node/8288988128,11,2015,Bowden Street,,,Cafe 0.6,node/8288988128,Mo-Fr 07:00-15:00; Sa 08:00-15:00; Su 09:00-15:00,AU,,,,coffee_shop,,,,yes,,,,https://www.zeropointsix.com.au/,,,,,,,,,,https://www.facebook.com/cafezeropointsix/,Shop 1A,+61 2 8205 9681,,,,,,,,,,,,,,,,Alexandria,info@zeropointsix.com.au,https://www.instagram.com/cafezeropointsix/,,,,,,,,,,,,,,,,
node/8807335380,3690,22302-1921,Q King Street,,,Starbucks,node/8807335380,,US,Starbucks,Q37158,,coffee_shop,,,Starbucks Coffee,,+1 703-845-9563,11492,yes,https://www.starbucks.com/store-locator/store/11492/bradlee-center-3690-q-king-street-alexandria-va-223021921-us,Bradlee Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/9531211726,,,,,,That Place Next Door - TPND,node/9531211726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/9576575338,3111,22314,Duke Street,,,Starbucks,node/9576575338,,,Starbucks,Q37158,,coffee_shop,,,Starbucks Coffee,,,,yes,https://locations.atipt.com/alexandria-va,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/9653839817,1800,22314-2769,Diagonal Road,,,For Five Coffee Alexandria,node/9653839817,Mo-Su 07:00-18:00,,,,,coffee_shop,,,,,-4978,,yes,,,wlan,yes,,5/20/2025,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/9656221317,1001,22314,King Street,,,Turkish Coffee Lady,node/9656221317,Su-Th 10:00-19:00; Fr-Sa 10:00-20:00,,,,,coffee_shop,,,,,-5231,,,https://turkishcoffeelady.com/,,,,,6/21/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/9754341671,,,,,,,node/9754341671,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/9831368204,529,22314,Montgomery Street,,,Saint Elmos Coffee Pub,node/9831368204,,,,,,coffee_shop,,,,yes,-4567,,,https://stelmoscoffeepub.com,,,yes,,2/10/2024,,,,,,,,,,,,,,,,,,,,,,,,,,yes,1996,,,,,,,,,,,,,,
node/9856962063,1018,22314,King Street,,,King Street Cafe,node/9856962063,,,,,,,,,,,-4968,,,https://www.kingstreetcafe.com/,,,,,7/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/9893342073,,,,,,Mecca,node/9893342073,"Mo-Fr 07:30-15:00; Sa,Su 08:00-15:00",,,,2025-05,,,yes,,yes,,,,https://www.mecca.coffee,,,no,,7/24/2025,,,,,,,,,,,yes,,,,,,,no,,,stool;chair,,,,,,,7/24/2025,,,,,,,,,,,,,
node/9920256303,615,56308,44th Avenue West,,,Starbucks,node/9920256303,,,Starbucks,Q37158,,coffee_shop,,,Starbucks Coffee,,+1 320-424-2841,1024007,yes,https://www.starbucks.com/store-locator/store/1024007/cr-29-and-dakota-alexandria-615-44th-ave-w-alexandria-mn-563082089-us,CR 29 and Dakota - Alexandria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/9965305871,,,,,,Australian Meat Emporium Cafe,node/9965305871,,,,,,coffee_shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/10102282480,4543,22304,Duke Street,,"Breakfast, coffee, pastries, salad, panini, smoothies",Cortado Cafe & Crepery,node/10102282480,Mo-Sa 07:00-19:00; Su 07:00-17:00,,,,,cafe,,,,yes,+1 571-312 24 96,,,https://cortadocafeandcrepery.com/,,,,,11/24/2025,,,,,https://www.facebook.com/CortadoCafe.VA/,,,,,,yes,,,,,,,,,,,,,,https://www.instagram.com/cortadocafeva/,,,,,,,,,,,,,,,,
node/10243619900,,,,,,Good Ways Deli,node/10243619900,Mo-Fr 07:00-15:00; Sa-Su 08:00-14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/10554725233,,,,,Inside Barnes & Noble,Starbucks,node/10554725233,,,Starbucks,Q37158,,coffee_shop,,,Starbucks Coffee,no,,,yes,,,,,,1/14/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Starbucks,,,,,,,,,,,,
node/10687259038,4550,22302,King Street,,,Starbucks,node/10687259038,,US,Starbucks,Q37158,,coffee_shop,,,Starbucks Coffee,,+1 571-895-2820,1031141,yes,https://www.starbucks.com/store-locator/store/1031141/harris-teeter-alexandria-413-4550-king-street-alexandria-va-22302-us,Harris Teeter Alexandria 413,,,,2/22/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/10689207742,106,22314,North Lee Street,,,South Block,node/10689207742,,,South Block,Q116456009,,juice;smoothie;coffee;açaí,,,,yes,-9590,,,Southblockjuice.com,,yes,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/10790492013,,,,,,Electric Cafe,node/10790492013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/10937806846,215,22314,South Union Street,,,Cafe du Soleil,node/10937806846,,,,,,french,,,,,+1 571-312-8010,,yes,https://cafedusoleilva.com/,,,,,9/14/2024,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,yes,yes,yes,yes,yes,,,,,,,
node/11090437432,229,22314,Strand Street,,,Lady Camellia,node/11090437432,,,,,,tea,,,,,-2842,,,https://www.ladycamellia.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/11241361443,109,22314,South Alfred Street,,,Mount Purrnon Cat Café + Wine Bar,node/11241361443,,,,,,,,,,,-2407,,,https://www.mtpurrnoncatcafe.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cat,,,,,,
node/12118135054,,,,,,,node/12118135054,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12181338419,18,,Huntley Street,,,Ellen,node/12181338419,,,,,10/10/2024,,,yes,,yes,,,,none,,,yes,,,,,,,,,,,,yes,yes,,,,,,,,,no,,,,,https://www.instagram.com/ellen18huntley/,,,,,,,,,,,yes,yes,yes,yes,,
node/12709371832,,,,,,Grind Pantry,node/12709371832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12811599653,,,,,,5 to go,node/12811599653,,,5 to go,Q115684369,,coffee_shop,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12889378866,4616,22034,Kenmore Avenue,,,Paris Baguette,node/12889378866,"Su-Th 06:00-21:00; Fr,Sa 06:00-22:00",,Paris Baguette,Q62605260,,coffee_shop,,,,,-2339,,,https://parisbaguette.com/locations/va/alexandria/4616-kenmore-avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bakery,
node/13099114596,,,,,,Bloom Tea,node/13099114596,Mo-Sa 10:00-18:00; Su 10:00-17:00,,,,,bubble_tea,,,,sidewalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.instagram.com/bloomteava/,,,,,,,,,,,,,,,,
node/13110831100,,,,,,LaPluma Coffee and Wine,node/13110831100,Mo-Sa 07:00-21:30; Su 07:00-18:00,,,,,,,,,,,,,https://laplumacoffeewine.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Sa 07:00-21:30;Su 07:00-18:00,,,,,,,,,,,,,,,,LaPluma
node/13158921296,2213,22301,Mount Vernon Avenue,,The authentic and traditional French experience and Beer Garden.,Gustave Boulangerie & Brasserie,node/13158921296,Mo-Su 07:00-19:00,,,,,coffee_shop;french,,,,yes,,,,https://gustaveboulangerie.com/,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,
node/13294814324,631,22314,King Street,,,Lily's Chocolate & Coffee,node/13294814324,,,,,,coffee_shop,,,,,-6231,,,https://lilyschocolatecoffee.com,,,,,11/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/13450830918,720,22314,Jefferson Street,,,Cafe du Soleil,node/13450830918,Mo-Su 07:00-17:00,,,,,coffee_shop;french,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
