score_id,area_id,area_name,business_type_id,category,subcategory,competitor_count,nearest_competitor_m,population,school_count,demand_index,market_saturation,suitability_score,recommended
68,7,Borg El Arab,2,Food & Beverage,Bakery,0,0,2000,0,2000,0,4.9,False
69,7,Borg El Arab,3,Food & Beverage,Cafe,0,0,2000,0,2000,0,4.9,False
70,7,Borg El Arab,4,Food & Beverage,Ice Cream & Sweets,0,0,2000,0,2000,0,4.9,False
71,7,Borg El Arab,5,Food & Beverage,Restaurant,0,0,2000,0,2000,0,4.9,False
72,7,Borg El Arab,6,Health & Fitness,Fitness Center,0,0,2000,0,2000,0,4.9,False
73,7,Borg El Arab,7,Healthcare,Hospital & Clinic,0,0,2000,0,2000,0,4.9,False
74,7,Borg El Arab,8,Healthcare,Pharmacy,0,0,2000,0,2000,0,4.9,False
75,7,Borg El Arab,9,Retail,Clothing & Fashion,0,0,2000,0,2000,0,4.9,False
76,7,Borg El Arab,10,Retail,Supermarket & Grocery,0,0,2000,0,2000,0,4.9,False
77,7,Borg El Arab,11,Tourism & Hospitality,Hotel,0,0,2000,0,2000,0,4.9,False
78,8,Boulkly,1,Financial Services,Bank & Exchange,0,0,11000,0,11000,0,8.65,True
79,8,Boulkly,2,Food & Beverage,Bakery,0,0,11000,0,11000,0,8.65,True
80,8,Boulkly,3,Food & Beverage,Cafe,0,0,11000,0,11000,0,8.65,True
81,8,Boulkly,4,Food & Beverage,Ice Cream & Sweets,0,0,11000,0,11000,0,8.65,True
82,8,Boulkly,5,Food & Beverage,Restaurant,0,0,11000,0,11000,0,8.65,True
83,8,Boulkly,6,Health & Fitness,Fitness Center,0,0,11000,0,11000,0,8.65,True
84,8,Boulkly,7,Healthcare,Hospital & Clinic,0,0,11000,0,11000,0,8.65,True
85,8,Boulkly,8,Healthcare,Pharmacy,0,0,11000,0,11000,0,8.65,True
86,8,Boulkly,9,Retail,Clothing & Fashion,0,0,11000,0,11000,0,8.65,True
87,8,Boulkly,10,Retail,Supermarket & Grocery,0,0,11000,0,11000,0,8.65,True
88,8,Boulkly,11,Tourism & Hospitality,Hotel,0,0,11000,0,11000,0,8.65,True
89,9,Camp Shezar,1,Financial Services,Bank & Exchange,0,0,13500,0,13500,0,9.03,True
90,9,Camp Shezar,2,Food & Beverage,Bakery,0,0,13500,0,13500,0,9.03,True
91,9,Camp Shezar,3,Food & Beverage,Cafe,0,0,13500,0,13500,0,9.03,True
92,9,Camp Shezar,4,Food & Beverage,Ice Cream & Sweets,0,0,13500,0,13500,0,9.03,True
93,9,Camp Shezar,5,Food & Beverage,Restaurant,0,0,13500,0,13500,0,9.03,True
94,9,Camp Shezar,6,Health & Fitness,Fitness Center,0,0,13500,0,13500,0,9.03,True
95,9,Camp Shezar,7,Healthcare,Hospital & Clinic,0,0,13500,0,13500,0,9.03,True
96,9,Camp Shezar,8,Healthcare,Pharmacy,0,0,13500,0,13500,0,9.03,True
97,9,Camp Shezar,9,Retail,Clothing & Fashion,0,0,13500,0,13500,0,9.03,True
98,9,Camp Shezar,10,Retail,Supermarket & Grocery,0,0,13500,0,13500,0,9.03,True
99,9,Camp Shezar,11,Tourism & Hospitality,Hotel,0,0,13500,0,13500,0,9.03,True
100,10,Chatby,1,Financial Services,Bank & Exchange,0,0,13000,0,13000,0,8.95,True
101,10,Chatby,2,Food & Beverage,Bakery,0,0,13000,0,13000,0,8.95,True
102,10,Chatby,3,Food & Beverage,Cafe,0,0,13000,0,13000,0,8.95,True
103,10,Chatby,4,Food & Beverage,Ice Cream & Sweets,0,0,13000,0,13000,0,8.95,True
104,10,Chatby,5,Food & Beverage,Restaurant,0,0,13000,0,13000,0,8.95,True
105,10,Chatby,6,Health & Fitness,Fitness Center,0,0,13000,0,13000,0,8.95,True
106,10,Chatby,7,Healthcare,Hospital & Clinic,0,0,13000,0,13000,0,8.95,True
107,10,Chatby,8,Healthcare,Pharmacy,0,0,13000,0,13000,0,8.95,True
108,10,Chatby,9,Retail,Clothing & Fashion,0,0,13000,0,13000,0,8.95,True
109,10,Chatby,10,Retail,Supermarket & Grocery,0,0,13000,0,13000,0,8.95,True
110,10,Chatby,11,Tourism & Hospitality,Hotel,0,0,13000,0,13000,0,8.95,True
111,11,Cleopatra,1,Financial Services,Bank & Exchange,0,0,14000,0,14000,0,9.1,True
112,11,Cleopatra,2,Food & Beverage,Bakery,0,0,14000,0,14000,0,9.1,True
113,11,Cleopatra,3,Food & Beverage,Cafe,0,0,14000,0,14000,0,9.1,True
114,11,Cleopatra,4,Food & Beverage,Ice Cream & Sweets,0,0,14000,0,14000,0,9.1,True
115,11,Cleopatra,5,Food & Beverage,Restaurant,0,0,14000,0,14000,0,9.1,True
116,11,Cleopatra,6,Health & Fitness,Fitness Center,0,0,14000,0,14000,0,9.1,True
117,11,Cleopatra,7,Healthcare,Hospital & Clinic,0,0,14000,0,14000,0,9.1,True
118,11,Cleopatra,8,Healthcare,Pharmacy,0,0,14000,0,14000,0,9.1,True
119,11,Cleopatra,9,Retail,Clothing & Fashion,0,0,14000,0,14000,0,9.1,True
120,11,Cleopatra,10,Retail,Supermarket & Grocery,0,0,14000,0,14000,0,9.1,True
121,11,Cleopatra,11,Tourism & Hospitality,Hotel,0,0,14000,0,14000,0,9.1,True
122,12,Cleopatra Hamamat,1,Financial Services,Bank & Exchange,0,0,9000,0,9000,0,8.35,True
123,12,Cleopatra Hamamat,2,Food & Beverage,Bakery,0,0,9000,0,9000,0,8.35,True
124,12,Cleopatra Hamamat,3,Food & Beverage,Cafe,0,0,9000,0,9000,0,8.35,True
125,12,Cleopatra Hamamat,4,Food & Beverage,Ice Cream & Sweets,0,0,9000,0,9000,0,8.35,True
126,12,Cleopatra Hamamat,5,Food & Beverage,Restaurant,0,0,9000,0,9000,0,8.35,True
127,12,Cleopatra Hamamat,6,Health & Fitness,Fitness Center,0,0,9000,0,9000,0,8.35,True
128,12,Cleopatra Hamamat,7,Healthcare,Hospital & Clinic,0,0,9000,0,9000,0,8.35,True
129,12,Cleopatra Hamamat,8,Healthcare,Pharmacy,0,0,9000,0,9000,0,8.35,True
130,12,Cleopatra Hamamat,9,Retail,Clothing & Fashion,0,0,9000,0,9000,0,8.35,True
131,12,Cleopatra Hamamat,10,Retail,Supermarket & Grocery,0,0,9000,0,9000,0,8.35,True
132,12,Cleopatra Hamamat,11,Tourism & Hospitality,Hotel,0,0,9000,0,9000,0,8.35,True
133,13,El Agamy,1,Financial Services,Bank & Exchange,0,0,6000,0,6000,0,7.9,True
134,13,El Agamy,2,Food & Beverage,Bakery,0,0,6000,0,6000,0,7.9,True
135,13,El Agamy,3,Food & Beverage,Cafe,0,0,6000,0,6000,0,7.9,True
136,13,El Agamy,4,Food & Beverage,Ice Cream & Sweets,0,0,6000,0,6000,0,7.9,True
137,13,El Agamy,5,Food & Beverage,Restaurant,0,0,6000,0,6000,0,7.9,True
138,13,El Agamy,6,Health & Fitness,Fitness Center,0,0,6000,0,6000,0,7.9,True
139,13,El Agamy,7,Healthcare,Hospital & Clinic,0,0,6000,0,6000,0,7.9,True
140,13,El Agamy,8,Healthcare,Pharmacy,0,0,6000,0,6000,0,7.9,True
141,13,El Agamy,9,Retail,Clothing & Fashion,0,0,6000,0,6000,0,7.9,True
142,13,El Agamy,10,Retail,Supermarket & Grocery,0,0,6000,0,6000,0,7.9,True
143,13,El Agamy,11,Tourism & Hospitality,Hotel,0,0,6000,0,6000,0,7.9,True
144,14,El Anfushi,1,Financial Services,Bank & Exchange,0,0,16000,0,16000,0,9.4,True
145,14,El Anfushi,2,Food & Beverage,Bakery,0,0,16000,0,16000,0,9.4,True
146,14,El Anfushi,3,Food & Beverage,Cafe,0,0,16000,0,16000,0,9.4,True
147,14,El Anfushi,4,Food & Beverage,Ice Cream & Sweets,0,0,16000,0,16000,0,9.4,True
148,14,El Anfushi,5,Food & Beverage,Restaurant,0,0,16000,0,16000,0,9.4,True
149,14,El Anfushi,6,Health & Fitness,Fitness Center,0,0,16000,0,16000,0,9.4,True
150,14,El Anfushi,7,Healthcare,Hospital & Clinic,0,0,16000,0,16000,0,9.4,True
151,14,El Anfushi,8,Healthcare,Pharmacy,0,0,16000,0,16000,0,9.4,True
152,14,El Anfushi,9,Retail,Clothing & Fashion,0,0,16000,0,16000,0,9.4,True
153,14,El Anfushi,10,Retail,Supermarket & Grocery,0,0,16000,0,16000,0,9.4,True
154,14,El Anfushi,11,Tourism & Hospitality,Hotel,0,0,16000,0,16000,0,9.4,True
155,15,El Asafra,1,Financial Services,Bank & Exchange,0,0,10500,0,10500,0,8.58,True
156,15,El Asafra,2,Food & Beverage,Bakery,0,0,10500,0,10500,0,8.58,True
157,15,El Asafra,3,Food & Beverage,Cafe,0,0,10500,0,10500,0,8.58,True
158,15,El Asafra,4,Food & Beverage,Ice Cream & Sweets,0,0,10500,0,10500,0,8.58,True
159,15,El Asafra,5,Food & Beverage,Restaurant,0,0,10500,0,10500,0,8.58,True
160,15,El Asafra,6,Health & Fitness,Fitness Center,0,0,10500,0,10500,0,8.58,True
161,15,El Asafra,7,Healthcare,Hospital & Clinic,0,0,10500,0,10500,0,8.58,True
162,15,El Asafra,8,Healthcare,Pharmacy,0,0,10500,0,10500,0,8.58,True
163,15,El Asafra,9,Retail,Clothing & Fashion,0,0,10500,0,10500,0,8.58,True
164,15,El Asafra,10,Retail,Supermarket & Grocery,0,0,10500,0,10500,0,8.58,True
165,15,El Asafra,11,Tourism & Hospitality,Hotel,0,0,10500,0,10500,0,8.58,True
166,16,El Azarita,1,Financial Services,Bank & Exchange,0,0,20000,0,20000,0,10,True
167,16,El Azarita,2,Food & Beverage,Bakery,0,0,20000,0,20000,0,10,True
168,16,El Azarita,3,Food & Beverage,Cafe,0,0,20000,0,20000,0,10,True
169,16,El Azarita,4,Food & Beverage,Ice Cream & Sweets,0,0,20000,0,20000,0,10,True
170,16,El Azarita,5,Food & Beverage,Restaurant,0,0,20000,0,20000,0,10,True
171,16,El Azarita,6,Health & Fitness,Fitness Center,0,0,20000,0,20000,0,10,True
172,16,El Azarita,7,Healthcare,Hospital & Clinic,0,0,20000,0,20000,0,10,True
173,16,El Azarita,8,Healthcare,Pharmacy,0,0,20000,0,20000,0,10,True
174,16,El Azarita,9,Retail,Clothing & Fashion,0,0,20000,0,20000,0,10,True
175,16,El Azarita,10,Retail,Supermarket & Grocery,0,0,20000,0,20000,0,10,True
176,16,El Azarita,11,Tourism & Hospitality,Hotel,0,0,20000,0,20000,0,10,True
177,17,El Dekhela,1,Financial Services,Bank & Exchange,0,0,7000,0,7000,0,8.05,True
178,17,El Dekhela,2,Food & Beverage,Bakery,0,0,7000,0,7000,0,8.05,True
179,17,El Dekhela,3,Food & Beverage,Cafe,0,0,7000,0,7000,0,8.05,True
180,17,El Dekhela,4,Food & Beverage,Ice Cream & Sweets,0,0,7000,0,7000,0,8.05,True
181,17,El Dekhela,5,Food & Beverage,Restaurant,0,0,7000,0,7000,0,8.05,True
182,17,El Dekhela,6,Health & Fitness,Fitness Center,0,0,7000,0,7000,0,8.05,True
183,17,El Dekhela,7,Healthcare,Hospital & Clinic,0,0,7000,0,7000,0,8.05,True
184,17,El Dekhela,8,Healthcare,Pharmacy,0,0,7000,0,7000,0,8.05,True
185,17,El Dekhela,9,Retail,Clothing & Fashion,0,0,7000,0,7000,0,8.05,True
186,17,El Dekhela,10,Retail,Supermarket & Grocery,0,0,7000,0,7000,0,8.05,True
187,17,El Dekhela,11,Tourism & Hospitality,Hotel,0,0,7000,0,7000,0,8.05,True
188,18,El Ekbal,1,Financial Services,Bank & Exchange,0,0,11000,0,11000,0,8.65,True
189,18,El Ekbal,2,Food & Beverage,Bakery,0,0,11000,0,11000,0,8.65,True
190,18,El Ekbal,3,Food & Beverage,Cafe,0,0,11000,0,11000,0,8.65,True
191,18,El Ekbal,4,Food & Beverage,Ice Cream & Sweets,0,0,11000,0,11000,0,8.65,True
192,18,El Ekbal,5,Food & Beverage,Restaurant,0,0,11000,0,11000,0,8.65,True
193,18,El Ekbal,6,Health & Fitness,Fitness Center,0,0,11000,0,11000,0,8.65,True
194,18,El Ekbal,7,Healthcare,Hospital & Clinic,0,0,11000,0,11000,0,8.65,True
195,18,El Ekbal,8,Healthcare,Pharmacy,0,0,11000,0,11000,0,8.65,True
196,18,El Ekbal,9,Retail,Clothing & Fashion,0,0,11000,0,11000,0,8.65,True
197,18,El Ekbal,10,Retail,Supermarket & Grocery,0,0,11000,0,11000,0,8.65,True
198,18,El Ekbal,11,Tourism & Hospitality,Hotel,0,0,11000,0,11000,0,8.65,True
199,19,El Gomrok (Bahary),1,Financial Services,Bank & Exchange,0,0,22000,0,22000,0,10,True
200,19,El Gomrok (Bahary),2,Food & Beverage,Bakery,0,0,22000,0,22000,0,10,True
201,19,El Gomrok (Bahary),3,Food & Beverage,Cafe,0,0,22000,0,22000,0,10,True
202,19,El Gomrok (Bahary),4,Food & Beverage,Ice Cream & Sweets,0,0,22000,0,22000,0,10,True
203,19,El Gomrok (Bahary),5,Food & Beverage,Restaurant,0,0,22000,0,22000,0,10,True
204,19,El Gomrok (Bahary),6,Health & Fitness,Fitness Center,0,0,22000,0,22000,0,10,True
205,19,El Gomrok (Bahary),7,Healthcare,Hospital & Clinic,0,0,22000,0,22000,0,10,True
206,19,El Gomrok (Bahary),8,Healthcare,Pharmacy,0,0,22000,0,22000,0,10,True
207,19,El Gomrok (Bahary),9,Retail,Clothing & Fashion,0,0,22000,0,22000,0,10,True
208,19,El Gomrok (Bahary),10,Retail,Supermarket & Grocery,0,0,22000,0,22000,0,10,True
209,19,El Gomrok (Bahary),11,Tourism & Hospitality,Hotel,0,0,22000,0,22000,0,10,True
210,20,El Hadra,1,Financial Services,Bank & Exchange,0,0,22000,0,22000,0,10,True
211,20,El Hadra,2,Food & Beverage,Bakery,0,0,22000,0,22000,0,10,True
212,20,El Hadra,3,Food & Beverage,Cafe,0,0,22000,0,22000,0,10,True
213,20,El Hadra,4,Food & Beverage,Ice Cream & Sweets,0,0,22000,0,22000,0,10,True
214,20,El Hadra,5,Food & Beverage,Restaurant,0,0,22000,0,22000,0,10,True
215,20,El Hadra,6,Health & Fitness,Fitness Center,0,0,22000,0,22000,0,10,True
216,20,El Hadra,7,Healthcare,Hospital & Clinic,0,0,22000,0,22000,0,10,True
217,20,El Hadra,8,Healthcare,Pharmacy,0,0,22000,0,22000,0,10,True
218,20,El Hadra,9,Retail,Clothing & Fashion,0,0,22000,0,22000,0,10,True
219,20,El Hadra,10,Retail,Supermarket & Grocery,0,0,22000,0,22000,0,10,True
220,20,El Hadra,11,Tourism & Hospitality,Hotel,0,0,22000,0,22000,0,10,True
221,21,El Ibrahimiya,1,Financial Services,Bank & Exchange,0,0,15000,0,15000,0,9.25,True
222,21,El Ibrahimiya,2,Food & Beverage,Bakery,0,0,15000,0,15000,0,9.25,True
223,21,El Ibrahimiya,3,Food & Beverage,Cafe,0,0,15000,0,15000,0,9.25,True
224,21,El Ibrahimiya,4,Food & Beverage,Ice Cream & Sweets,0,0,15000,0,15000,0,9.25,True
225,21,El Ibrahimiya,5,Food & Beverage,Restaurant,0,0,15000,0,15000,0,9.25,True
226,21,El Ibrahimiya,6,Health & Fitness,Fitness Center,0,0,15000,0,15000,0,9.25,True
227,21,El Ibrahimiya,7,Healthcare,Hospital & Clinic,0,0,15000,0,15000,0,9.25,True
228,21,El Ibrahimiya,8,Healthcare,Pharmacy,0,0,15000,0,15000,0,9.25,True
229,21,El Ibrahimiya,9,Retail,Clothing & Fashion,0,0,15000,0,15000,0,9.25,True
230,21,El Ibrahimiya,10,Retail,Supermarket & Grocery,0,0,15000,0,15000,0,9.25,True
231,21,El Ibrahimiya,11,Tourism & Hospitality,Hotel,0,0,15000,0,15000,0,9.25,True
232,22,El Maamoura,1,Financial Services,Bank & Exchange,0,0,7500,0,7500,0,8.13,True
233,22,El Maamoura,2,Food & Beverage,Bakery,0,0,7500,0,7500,0,8.13,True
234,22,El Maamoura,3,Food & Beverage,Cafe,0,0,7500,0,7500,0,8.13,True
235,22,El Maamoura,4,Food & Beverage,Ice Cream & Sweets,0,0,7500,0,7500,0,8.13,True
236,22,El Maamoura,5,Food & Beverage,Restaurant,0,0,7500,0,7500,0,8.13,True
237,22,El Maamoura,6,Health & Fitness,Fitness Center,0,0,7500,0,7500,0,8.13,True
238,22,El Maamoura,7,Healthcare,Hospital & Clinic,0,0,7500,0,7500,0,8.13,True
239,22,El Maamoura,8,Healthcare,Pharmacy,0,0,7500,0,7500,0,8.13,True
240,22,El Maamoura,9,Retail,Clothing & Fashion,0,0,7500,0,7500,0,8.13,True
241,22,El Maamoura,10,Retail,Supermarket & Grocery,0,0,7500,0,7500,0,8.13,True
242,22,El Maamoura,11,Tourism & Hospitality,Hotel,0,0,7500,0,7500,0,8.13,True
243,23,El Mandara,1,Financial Services,Bank & Exchange,0,0,9000,0,9000,0,8.35,True
244,23,El Mandara,2,Food & Beverage,Bakery,0,0,9000,0,9000,0,8.35,True
245,23,El Mandara,3,Food & Beverage,Cafe,0,0,9000,0,9000,0,8.35,True
246,23,El Mandara,4,Food & Beverage,Ice Cream & Sweets,0,0,9000,0,9000,0,8.35,True
247,23,El Mandara,5,Food & Beverage,Restaurant,0,0,9000,0,9000,0,8.35,True
248,23,El Mandara,6,Health & Fitness,Fitness Center,0,0,9000,0,9000,0,8.35,True
249,23,El Mandara,7,Healthcare,Hospital & Clinic,0,0,9000,0,9000,0,8.35,True
250,23,El Mandara,8,Healthcare,Pharmacy,0,0,9000,0,9000,0,8.35,True
251,23,El Mandara,9,Retail,Clothing & Fashion,0,0,9000,0,9000,0,8.35,True
252,23,El Mandara,10,Retail,Supermarket & Grocery,0,0,9000,0,9000,0,8.35,True
253,23,El Mandara,11,Tourism & Hospitality,Hotel,0,0,9000,0,9000,0,8.35,True
254,24,El Montazah,1,Financial Services,Bank & Exchange,0,0,8000,0,8000,0,8.2,True
255,24,El Montazah,2,Food & Beverage,Bakery,0,0,8000,0,8000,0,8.2,True
256,24,El Montazah,3,Food & Beverage,Cafe,0,0,8000,0,8000,0,8.2,True
257,24,El Montazah,4,Food & Beverage,Ice Cream & Sweets,0,0,8000,0,8000,0,8.2,True
258,24,El Montazah,5,Food & Beverage,Restaurant,0,0,8000,0,8000,0,8.2,True
259,24,El Montazah,6,Health & Fitness,Fitness Center,0,0,8000,0,8000,0,8.2,True
260,24,El Montazah,7,Healthcare,Hospital & Clinic,0,0,8000,0,8000,0,8.2,True
261,24,El Montazah,8,Healthcare,Pharmacy,0,0,8000,0,8000,0,8.2,True
262,24,El Montazah,9,Retail,Clothing & Fashion,0,0,8000,0,8000,0,8.2,True
263,24,El Montazah,10,Retail,Supermarket & Grocery,0,0,8000,0,8000,0,8.2,True
264,24,El Montazah,11,Tourism & Hospitality,Hotel,0,0,8000,0,8000,0,8.2,True
265,25,El Nozha,1,Financial Services,Bank & Exchange,0,0,8500,0,8500,0,8.28,True
266,25,El Nozha,2,Food & Beverage,Bakery,0,0,8500,0,8500,0,8.28,True
267,25,El Nozha,3,Food & Beverage,Cafe,0,0,8500,0,8500,0,8.28,True
268,25,El Nozha,4,Food & Beverage,Ice Cream & Sweets,0,0,8500,0,8500,0,8.28,True
269,25,El Nozha,5,Food & Beverage,Restaurant,0,0,8500,0,8500,0,8.28,True
270,25,El Nozha,6,Health & Fitness,Fitness Center,0,0,8500,0,8500,0,8.28,True
271,25,El Nozha,7,Healthcare,Hospital & Clinic,0,0,8500,0,8500,0,8.28,True
272,25,El Nozha,8,Healthcare,Pharmacy,0,0,8500,0,8500,0,8.28,True
273,25,El Nozha,9,Retail,Clothing & Fashion,0,0,8500,0,8500,0,8.28,True
274,25,El Nozha,10,Retail,Supermarket & Grocery,0,0,8500,0,8500,0,8.28,True
275,25,El Nozha,11,Tourism & Hospitality,Hotel,0,0,8500,0,8500,0,8.28,True
276,26,El Shatby,1,Financial Services,Bank & Exchange,0,0,14000,0,14000,0,9.1,True
277,26,El Shatby,2,Food & Beverage,Bakery,0,0,14000,0,14000,0,9.1,True
278,26,El Shatby,3,Food & Beverage,Cafe,0,0,14000,0,14000,0,9.1,True
279,26,El Shatby,4,Food & Beverage,Ice Cream & Sweets,0,0,14000,0,14000,0,9.1,True
280,26,El Shatby,5,Food & Beverage,Restaurant,0,0,14000,0,14000,0,9.1,True
281,26,El Shatby,6,Health & Fitness,Fitness Center,0,0,14000,0,14000,0,9.1,True
282,26,El Shatby,7,Healthcare,Hospital & Clinic,0,0,14000,0,14000,0,9.1,True
283,26,El Shatby,8,Healthcare,Pharmacy,0,0,14000,0,14000,0,9.1,True
284,26,El Shatby,9,Retail,Clothing & Fashion,0,0,14000,0,14000,0,9.1,True
285,26,El Shatby,10,Retail,Supermarket & Grocery,0,0,14000,0,14000,0,9.1,True
286,26,El Shatby,11,Tourism & Hospitality,Hotel,0,0,14000,0,14000,0,9.1,True
287,27,El Shotbi,1,Financial Services,Bank & Exchange,0,0,19000,0,19000,0,9.85,True
288,27,El Shotbi,2,Food & Beverage,Bakery,0,0,19000,0,19000,0,9.85,True
289,27,El Shotbi,3,Food & Beverage,Cafe,0,0,19000,0,19000,0,9.85,True
290,27,El Shotbi,4,Food & Beverage,Ice Cream & Sweets,0,0,19000,0,19000,0,9.85,True
